ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
2024-11-26,PE003,Mortadela,2.5277487292621785,1.3801659402026627,3.5647618605542566
2024-11-27,PE003,Mortadela,2.452169558097428,1.2897926049795307,3.4961701425286127
2024-11-28,PE003,Mortadela,2.628284731386261,1.4793168142715274,3.6757261527443994
2024-11-29,PE003,Mortadela,2.4203295223848715,1.2595782204268173,3.512589793968091
2024-11-30,PE003,Mortadela,2.2573778869204997,1.1775585085823803,3.338012770774265
2024-12-01,PE003,Mortadela,2.770441291983943,1.6452521383841068,3.9180771418979052
2024-12-02,PE003,Mortadela,2.72634583496013,1.621622651421509,3.8207426355534335
2024-12-03,PE003,Mortadela,2.526984623726697,1.4193572783328707,3.6883175355661657
2024-12-04,PE003,Mortadela,2.451405452562906,1.3849225023496978,3.5531474767846847
2024-12-05,PE003,Mortadela,2.6275206258505577,1.539995893139413,3.6552272163422415
2024-12-06,PE003,Mortadela,2.4195654168490677,1.3704519402204254,3.543063384012445
2024-12-07,PE003,Mortadela,2.256613781385365,1.176851488736649,3.4221288352441857
2024-12-08,PE003,Mortadela,2.7696771864473595,1.6975287203397695,3.8648148955240904
2024-12-09,PE003,Mortadela,2.7255817294026348,1.5877030680160902,3.7699781163718282
2024-12-10,PE003,Mortadela,2.5262205181471953,1.4322904039539515,3.642758756871786
2024-12-11,PE003,Mortadela,2.4506413469614516,1.3295393599733063,3.5133381800777905
2024-12-12,PE003,Mortadela,2.6267565202276404,1.5325634618266608,3.671429595112503
2024-12-13,PE003,Mortadela,2.4188013112049114,1.3202163306591703,3.605448439954886
2024-12-14,PE003,Mortadela,2.2558496757181694,1.1423400635812413,3.2933669517375534
2024-12-15,PE003,Mortadela,2.7689130807584714,1.776739199803195,3.87417467735734
2024-12-16,PE003,Mortadela,2.7248176237133066,1.6333195100056916,3.843824127772162
2024-12-17,PE003,Mortadela,2.525456412457956,1.4254303518446945,3.6952136647486418
2024-12-18,PE003,Mortadela,2.4498772412724064,1.4215596203559395,3.5809720817012503
2024-12-19,PE003,Mortadela,2.625992414538693,1.6126902589567826,3.748898942487945
2024-12-20,PE003,Mortadela,2.418073014947261,1.350012667151567,3.4623963206519517
2024-12-21,PE003,Mortadela,2.255157188893414,1.2686755773285872,3.3430065310520454
2024-12-22,PE003,Mortadela,2.768256403366151,1.6482744002134928,3.7644247744816086
2024-12-23,PE003,Mortadela,2.7241967557526507,1.5558091076547858,3.778826041031705
2024-12-24,PE003,Mortadela,2.524871353930516,1.46243254360247,3.675534450699762
2024-12-25,PE003,Mortadela,2.4493279921767135,1.37084055744134,3.5112733765167263
2024-12-26,PE003,Mortadela,2.625478974874323,1.557397146753617,3.7635106567012286
2024-12-27,PE003,Mortadela,2.4175595752838586,1.3031909557671402,3.469226033352656
2024-12-28,PE003,Mortadela,2.254643749230093,1.168599213465107,3.347368706600242
2024-12-29,PE003,Mortadela,2.7677429637011803,1.748344824950403,3.941701365798951
2024-12-30,PE003,Mortadela,2.7236833160886715,1.586954199419717,3.7999129818472817
2024-12-31,PE003,Mortadela,2.524357914266854,1.3766639089908805,3.5771131015375643
2025-01-01,PE003,Mortadela,2.448814552532658,1.3397750073568249,3.566683694562444
2025-01-02,PE003,Mortadela,2.624965535249775,1.5033398888987108,3.6546713067054744
2025-01-03,PE003,Mortadela,2.4170461356777944,1.3929922005479223,3.5264510281030343
2025-01-04,PE003,Mortadela,2.2541303096431937,1.155470428563605,3.327202533145813
2025-01-05,PE003,Mortadela,2.767229524134712,1.6448909099514522,3.9026634846446706
2025-01-06,PE003,Mortadela,2.7231698765413914,1.6790979813959788,3.8121483635821427
2025-01-07,PE003,Mortadela,2.5238444747384463,1.3868515079221966,3.6811729604845644
2025-01-08,PE003,Mortadela,2.448301113004218,1.2996466943023155,3.4769530342943598
2025-01-09,PE003,Mortadela,2.624452095721959,1.5867331371245044,3.73785995212776
2025-01-10,PE003,Mortadela,2.416532696149378,1.3871017725453183,3.4900915022394825
