ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
<<<<<<< HEAD
2024-06-03,PC012,Posta de Corona,2.725479035114251,1.607566828614205,3.8472024906303894
2024-06-24,PC012,Posta de Corona,2.707816587865292,1.6236981162124602,3.7914446886335686
2024-07-04,PC012,Posta de Corona,2.7229146640827846,1.5601920589977927,3.814712432508234
2024-11-26,PC012,Posta de Corona,2.7079286281117976,1.6581341114185515,3.762031217807994
2024-11-27,PC012,Posta de Corona,2.630857743104179,1.5300922178990408,3.6833452738774426
2024-11-28,PC012,Posta de Corona,2.5992775333334457,1.5007880261391913,3.6606036735168828
2024-11-29,PC012,Posta de Corona,2.8149991780511936,1.5852239668013357,3.961122478917335
2024-11-30,PC012,Posta de Corona,2.3918778596794543,1.2567852930944334,3.570267305122107
2024-12-01,PC012,Posta de Corona,2.354139562855479,1.3066480062720367,3.4783552820052708
2024-12-02,PC012,Posta de Corona,2.5724044922810285,1.4719395026989341,3.589838602865431
2024-12-03,PC012,Posta de Corona,2.7020411456949573,1.632177294522926,3.7882814269303795
2024-12-04,PC012,Posta de Corona,2.6249702606879595,1.5627016200308252,3.704600526483007
2024-12-05,PC012,Posta de Corona,2.59339005091588,1.5158005977359958,3.6659720649443175
2024-12-06,PC012,Posta de Corona,2.80933339361592,1.7940072619302563,3.964576193215427
2024-12-07,PC012,Posta de Corona,2.3864337732255474,1.216664277066847,3.493011751641666
2024-12-08,PC012,Posta de Corona,2.3489171743831845,1.3149425721298424,3.453577186349246
2024-12-09,PC012,Posta de Corona,2.567403801790127,1.4397542272846688,3.665263697102776
2024-12-10,PC012,Posta de Corona,2.6972621531855245,1.549459150166246,3.741609194918431
2024-12-11,PC012,Posta de Corona,2.6204129661598055,1.5639488534454018,3.7289386475732815
2024-12-12,PC012,Posta de Corona,2.5890544543698994,1.5521157884536612,3.697333604884588
2024-12-13,PC012,Posta de Corona,2.804997797070002,1.7371103784088087,3.9528571638939156
