ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
2024-11-26,PC016,Sesina,2.5313845754292172,1.4949982034348666,3.6169123587464744
2024-11-27,PC016,Sesina,2.5724976016471213,1.4746338942112558,3.584648887770575
2024-11-28,PC016,Sesina,2.2602567844835204,1.0847406836511555,3.35505300047949
2024-11-29,PC016,Sesina,2.5897311767595093,1.497234051903348,3.637745556677662
2024-11-30,PC016,Sesina,2.533453415915868,1.5093453985113305,3.6200965205945836
2024-12-01,PC016,Sesina,2.5518111961101093,1.4496341981551475,3.6409514762408546
2024-12-02,PC016,Sesina,2.546500776731345,1.4303914433727192,3.660757642628439
2024-12-03,PC016,Sesina,2.533074951121382,1.450473584750612,3.622331983884754
2024-12-04,PC016,Sesina,2.574187977339727,1.4985603013562656,3.6482502090163127
2024-12-05,PC016,Sesina,2.2619471601757644,1.18433377127812,3.3163267960404648
2024-12-06,PC016,Sesina,2.5914215524521924,1.463099258014241,3.662806031784726
2024-12-07,PC016,Sesina,2.5351437916083026,1.395246174201323,3.6365930174397056
2024-12-08,PC016,Sesina,2.553501571803263,1.5010157596566296,3.5051702255387265
2024-12-09,PC016,Sesina,2.5481908259498165,1.4214998750208525,3.5707388806237415
2024-12-10,PC016,Sesina,2.534764673866909,1.4871414881926057,3.5852729710097773
2024-12-11,PC016,Sesina,2.5758773736116707,1.4695267166249075,3.556238782268277
2024-12-12,PC016,Sesina,2.263636229974823,1.2001555456827824,3.371416511613362
2024-12-13,PC016,Sesina,2.593110295777218,1.5614987772453965,3.6920031124864217
2024-12-14,PC016,Sesina,2.536832208460825,1.5100259158606024,3.5446900971205295
2024-12-15,PC016,Sesina,2.5551896621813723,1.4510837594557167,3.6549827585435595
2024-12-16,PC016,Sesina,2.549878916329874,1.468299644884211,3.633919116844633
2024-12-17,PC016,Sesina,2.5364527642464543,1.362162913520435,3.5525963790867228
2024-12-18,PC016,Sesina,2.5775654639906924,1.512303465407337,3.631697075359151
2024-12-19,PC016,Sesina,2.2653243203539266,1.2845158942799118,3.312121213338714
2024-12-20,PC016,Sesina,2.5947983861615405,1.4612684089285084,3.727549995465059
2024-12-21,PC016,Sesina,2.538520298849769,1.5153194846575821,3.6061156001581494
2024-12-22,PC016,Sesina,2.55687775257483,1.5264285339485475,3.695496400556924
2024-12-23,PC016,Sesina,2.5515670067279137,1.4822851887441195,3.6132021840196344
2024-12-24,PC016,Sesina,2.5381408546497597,1.489862375559491,3.7034805625784712
2024-12-25,PC016,Sesina,2.5792535543989348,1.5124799281621824,3.723109939821362
2024-12-26,PC016,Sesina,2.2670124107670713,1.2649030460079735,3.298908425202244
2024-12-27,PC016,Sesina,2.5964864765744653,1.513852471105673,3.677704748368328
2024-12-28,PC016,Sesina,2.540208389262482,1.4395047018141032,3.658270319635975
2024-12-29,PC016,Sesina,2.5585658429881057,1.5560381885466907,3.501785982788165
2024-12-30,PC016,Sesina,2.5532550971405628,1.5391273473202547,3.5984765583476843
2024-12-31,PC016,Sesina,2.5398289450633955,1.5312425904229259,3.6171840876653105
2025-01-01,PC016,Sesina,2.5809416445367463,1.4926955762319662,3.7198559593846094
2025-01-02,PC016,Sesina,2.268700500629664,1.126462637039862,3.374395224889864
2025-01-03,PC016,Sesina,2.5981745661621067,1.5498013246355944,3.7222013171252013
2025-01-04,PC016,Sesina,2.541896478574603,1.5102465668726415,3.6576962847926966
2025-01-05,PC016,Sesina,2.560253932025279,1.4917953254619687,3.646483652626131
2025-01-06,PC016,Sesina,2.554943185902908,1.4779035451148024,3.5944303352152382
2025-01-07,PC016,Sesina,2.541517033548704,1.406101006451308,3.554886921803801
2025-01-08,PC016,Sesina,2.5826297330235,1.507444622706217,3.6472479892711926
2025-01-09,PC016,Sesina,2.270388589115688,1.228416918191754,3.4157301454944986
2025-01-10,PC016,Sesina,2.599862654648546,1.5143895141809662,3.668913853898219
2025-01-11,PC016,Sesina,2.5435845670602126,1.3838177001836627,3.5560221147756663
2025-01-12,PC016,Sesina,2.561942020511113,1.4965167861876758,3.6593034955689157
2025-01-13,PC016,Sesina,2.5566312743332595,1.5070544872193194,3.6317702539614722
2025-01-14,PC016,Sesina,2.543205121924847,1.5496580260024102,3.5830142949423807
2025-01-15,PC016,Sesina,2.584317821343925,1.5315520881449274,3.639693031053674
2025-01-16,PC016,Sesina,2.272076677381,1.1875645170855071,3.366496423959483
2025-01-17,PC016,Sesina,2.6015507428583953,1.5472092078184845,3.7731081296366136
2025-01-18,PC016,Sesina,2.5452726552163982,1.476126293025581,3.6216800018293087
2025-01-19,PC016,Sesina,2.5636301086105857,1.4674400203031226,3.684528769064615
2025-01-20,PC016,Sesina,2.5583193624328566,1.474722611430503,3.6154271200298482
2025-01-21,PC016,Sesina,2.5448932100250174,1.4195902376929141,3.626554466514471
2025-01-22,PC016,Sesina,2.5860059094432195,1.5035198586592975,3.612490532211001
2025-01-23,PC016,Sesina,2.2737647654807036,1.1532635624427037,3.33577550218965
2025-01-24,PC016,Sesina,2.603238830972812,1.5282107435930505,3.6279024681625254
2025-01-25,PC016,Sesina,2.546960743344354,1.5254778849066815,3.625912681272712
2025-01-26,PC016,Sesina,2.565318196753076,1.433137169515469,3.703835895893168
2025-01-27,PC016,Sesina,2.560007450589398,1.5069250399527796,3.6834732408601965
2025-01-28,PC016,Sesina,2.546581298195661,1.4815425220797025,3.6721017042935777
2025-01-29,PC016,Sesina,2.5876939976292546,1.5136301514610726,3.6598782666635534
