ProductoNombre,VentasSemana
Medio Pollo,15.177860288249464
Posta De Gallina,14.384976102269011
Pechuga Con Ala,15.754792394064012
Chincaca,16.786762850436435
Huesos Corriente,16.884118345957003
Higado De Pollo,15.803406139696515
Posta de Pierna,15.334906339008665
Costilla Alta,17.38321673233452
Conito,18.169403182825903
Menudo,15.793809569887578
Posta de Corona,15.644707497162477
Lomo de Cerdo,17.62609456131472
Salchichon,16.93306158586489
Crema Perfecta,16.43356638637935
Lomo de Res,14.332388007124068
Queso,16.452966361971015
Costilla de Cerdo,12.359877813967158
Centrolac leche entera 472 ml,13.784012964401278
Muslo Especial,12.569752579180562
Producto de Prueba,10.474469491969314
Pierna Especial,9.524321811712266
Pierna Entera,10.351480218452837
Muslo,11.218809990754082
Pechuga Especial,10.021762993454029
Titiles,12.47332102044382
Punta de Cacho,10.79216976456372
Sesina,8.710148105185802
Posta de Cerdo,9.255103993918965
Salchicha,13.365106214107938
Mortadela,10.337803221184167
Chorizo Criollo,11.369169014802026
Centrolac milk whole 1000 ml ,10.744420420690865
