ds,ProductoID,ProductoNombre,yhat,yhat_lower,yhat_upper
2023-11-20,TOTAL,Carniceria Lupita,-148.34804652987103,-253.47107624450524,-34.941515534033336
2023-11-27,TOTAL,Carniceria Lupita,-138.5167438912605,-250.9314133132721,-33.37293354793054
2024-05-20,TOTAL,Carniceria Lupita,137.93720469761956,31.694881019914877,239.1175430250852
2024-05-27,TOTAL,Carniceria Lupita,112.55497634455577,9.498311262524469,234.5233106651109
2024-06-10,TOTAL,Carniceria Lupita,123.72485959786337,21.96620732529453,233.0317743452094
2024-06-17,TOTAL,Carniceria Lupita,128.9826254227521,23.943149812166165,242.3354617134008
2024-06-24,TOTAL,Carniceria Lupita,112.46225755625217,0.595037723900255,216.60717636028343
2024-07-01,TOTAL,Carniceria Lupita,93.83133580540778,-14.589517582243285,200.91469729837004
2024-07-08,TOTAL,Carniceria Lupita,102.9715720509345,-1.8915998091102164,211.94576941197644
2024-07-15,TOTAL,Carniceria Lupita,141.6022468314678,22.73021223714419,237.82948316081132
2024-12-02,TOTAL,Carniceria Lupita,299.73745693726204,194.36837547448462,417.9091711300329
2024-12-09,TOTAL,Carniceria Lupita,453.31020678937574,344.5557431038659,561.906882867214
2024-12-16,TOTAL,Carniceria Lupita,568.2831269124611,463.54147527348914,678.6250579958287
2024-12-23,TOTAL,Carniceria Lupita,564.3473962159953,454.2082548281575,679.8445189365127
2024-12-30,TOTAL,Carniceria Lupita,470.70524537045117,362.1412635413196,577.0356687840847
2025-01-06,TOTAL,Carniceria Lupita,398.125966867463,285.4457331842491,510.70552751094414
2025-01-13,TOTAL,Carniceria Lupita,425.63399087853264,308.6444470962567,537.5389923861055
2025-01-20,TOTAL,Carniceria Lupita,524.8657350192791,420.31253062595323,634.9451747021558
2025-01-27,TOTAL,Carniceria Lupita,600.5336291634258,495.64765575813925,710.4297421715096
2025-02-03,TOTAL,Carniceria Lupita,595.1047894641499,479.31261108959274,699.790042427926
2025-02-10,TOTAL,Carniceria Lupita,540.5506419242664,427.9656724549529,644.1746104563299
